"Species","Argyll","Clyde","Forth.and.Tay","Moray.Firth","North.Coast","North.East","Orkney.Islands","Outer.Hebrides","Shetland.Isles","Solway","West.Highlands"
"Northern Gannet",0.58,0.3,2,0.38,1.23,0.27,1.21,1.48,2.06,0.33,1.16
"Atlantic Puffin",0.08,0.06,0.5,0.15,0.11,0.21,0.17,0.15,0.5,0.02,0.1
"Kittiwake",5.24,375.23,5.07,8.69,3.05,1.88,3.42,2.11,3.42,1.19,19.22
"Common Guillemot",4.94,5.2,12.39,11.08,3.94,8.4,3.67,4.71,2.71,0.71,8.67
"Razorbill",19.26,63.82,12.51,14.58,0.78,1.49,0.46,2.12,0.18,0.4,13.12
"Red-throated Diver",0.04,2.09,4.74,1.95,0.03,0.77,0.07,0,0.01,0.14,0.01
