"Species","Argyll","Clyde","Forth.and.Tay","Moray.Firth","North.Coast","North.East","Orkney.Islands","Outer.Hebrides","Shetland.Isles","Solway","West.Highlands"
"Northern Gannet",0.2,0.12,0.77,0.14,0.72,0.14,0.53,0.85,0.62,0.13,0.41
"Atlantic Puffin",0.03,0.01,0.1,0.03,0.05,0.1,0.07,0.05,0.13,0,0.03
"Kittiwake",0.98,7.96,0.65,2.1,1.61,0.79,1.61,0.63,1.32,0.42,2.04
"Common Guillemot",1.38,1.11,7.57,4.84,2.79,3.97,2.31,1.08,1.06,0.14,2.75
"Razorbill",1.24,0.77,1.79,1.45,0.47,0.7,0.26,0.16,0.06,0.09,0.97
"Red-throated Diver",0.01,0.16,0.27,0.2,0.01,0.18,0.02,0,0,0.05,0
