"Species","Argyll","Clyde","Forth.and.Tay","Moray.Firth","North.Coast","North.East","Orkney.Islands","Outer.Hebrides","Shetland.Isles","Solway","West.Highlands"
"Northern Gannet",0.63,0.61,2.5,0.39,1.02,0.42,0.77,1.8,0.92,0.62,0.95
"Atlantic Puffin",0.47,0.05,5.4,0.51,1.81,1.88,2.54,2.41,2.97,0.06,1.56
"Kittiwake",0.98,0.21,3.02,3.5,2.35,4.88,2.06,0.64,0.38,0.53,1.54
"Common Guillemot",5.51,4.29,6.25,12.77,6.51,11.15,5.67,2.16,1.89,1.53,9.21
"Razorbill",2.65,0.7,1.47,2.97,1.59,2.38,0.9,0.59,0.11,0.57,2.76
"Red-throated Diver",0.01,0.15,0.27,0.2,0.01,0.18,0.02,0,0,0.05,0
