"Species","Argyll","Clyde","Forth.and.Tay","Moray.Firth","North.Coast","North.East","Orkney.Islands","Outer.Hebrides","Shetland.Isles","Solway","West.Highlands"
"Northern Gannet",0.2,0.21,1.2,0.07,0.39,0.18,0.23,0.58,0.58,0.41,0.53
"Atlantic Puffin",0.4,0.05,3.73,0.34,0.72,1.47,1.29,1.34,1.69,0.06,1.23
"Kittiwake",1.15,0.18,1.54,1.46,0.88,1.46,0.87,0.31,0.24,0.31,2.41
"Common Guillemot",5.18,2.11,3.17,4.84,1.81,2.62,1.55,1.97,1.16,1.7,5.82
"Razorbill",2.85,0.88,0.45,0.85,0.26,0.24,0.39,0.64,0.11,0.62,1.72
"Red-throated Diver",0.01,0.15,0.46,0.21,0.01,0.13,0.02,0,0,0.03,0
